ts,trade_id,token_id,outcome,buyer_address,seller_address,actor_address,side,price,size,notional
2026-03-26 16:23:29+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,,0x5722817efa4d47b4990d2a305a4820bf99fd2c07,0x5722817efa4d47b4990d2a305a4820bf99fd2c07,sell,0.89,638.84,568.5676000000001
2026-03-26 16:23:37+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,,0xabbeb2bdd30ba5c51cb14168b068103961648f37,0xabbeb2bdd30ba5c51cb14168b068103961648f37,sell,0.89,4386.32,3903.8248
2026-03-26 16:24:01+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x5a27132c78635ffba7d6a06856952f9c647893e8,,0x5a27132c78635ffba7d6a06856952f9c647893e8,buy,0.9,1040.01,936.009
2026-03-26 16:24:59+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,,0xc3262aeb0bd81deab067726635f5b5bd39201db1,0xc3262aeb0bd81deab067726635f5b5bd39201db1,sell,0.9,50.0,45.0
2026-03-26 16:25:49+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x6393ba391758ac38853e564131ec912e76eb4b2d,0x6393ba391758ac38853e564131ec912e76eb4b2d,sell,0.09,8121.8,730.962
2026-03-26 16:27:13+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x07d5e73d59494c4ba0df35788cd8d32becd58c8f,,0x07d5e73d59494c4ba0df35788cd8d32becd58c8f,buy,0.91,1.0989,0.999999
2026-03-26 16:27:55+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0x8df709742e36bcdb61e22dc738e5d9ab79019668,,0x8df709742e36bcdb61e22dc738e5d9ab79019668,buy,0.1,10.0,1.0
2026-03-26 16:30:15+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xe9ce222d479d488f8901a342ecb778eb9cbd711f,,0xe9ce222d479d488f8901a342ecb778eb9cbd711f,buy,0.9099999922222023,2.571422,2.339994
2026-03-26 16:30:15+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x8d93bfc93ffa154e897969406fbc5f1d55f002ff,0x8d93bfc93ffa154e897969406fbc5f1d55f002ff,sell,0.09,9.53,0.8576999999999999
2026-03-26 16:30:15+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,buy,0.9099999949444164,1.978011,1.79999
